,imageId,task1,classnum
403,704,shoe,1
404,705,dress,1
405,706,dress,1
406,707,dress,1
407,708,shoe,1
408,709,dress,1
409,711,pants,1
410,712,dress,1
411,717,outerwear,1
412,718,dress,1
413,721,outerwear,1
414,722,shoe,1
415,724,shoe,1
416,725,shoe,1
417,726,shoe,1
418,727,shoe,1
419,729,dress,1
420,730,outerwear,1
421,731,dress,1
422,732,dress,1
423,734,pants,1
424,735,pants,1
425,738,pants,1
426,740,outerwear,1
427,743,outerwear,1
428,746,dress,1
429,749,pants,1
430,750,shoe,1
431,752,shoe,1
432,753,outerwear,1
433,754,shoe,1
434,755,outerwear,1
435,756,dress,1
436,757,shoe,1
437,762,shoe,1
438,768,dress,1
439,769,outerwear,1
440,770,outerwear,1
441,771,shoe,1
442,773,dress,1
443,774,shoe,1
444,775,outerwear,1
445,777,shoe,1
446,779,shoe,1
447,780,outerwear,1
448,781,pants,1
449,782,dress,1
450,785,pants,1
451,787,dress,1
452,789,dress,1
453,790,outerwear,1
454,792,pants,1
455,793,outerwear,1
456,795,shoe,1
457,797,outerwear,1
458,798,dress,1
459,800,dress,1
460,801,outerwear,1
461,804,dress,1
462,807,dress,1
463,812,dress,1
464,815,dress,1
465,818,pants,1
466,823,outerwear,1
467,825,dress,1
468,826,outerwear,1
469,827,pants,1
470,831,shoe,1
471,836,outerwear,1
472,842,dress,1
473,844,pants,1
474,846,outerwear,1
475,849,outerwear,1
476,850,shoe,1
477,852,shoe,1
478,856,outerwear,1
479,857,pants,1
480,858,pants,1
481,859,dress,1
482,860,outerwear,1
483,862,dress,1
484,864,dress,1
485,865,pants,1
486,866,dress,1
487,867,pants,1
488,873,pants,1
489,876,shoe,1
490,878,dress,1
491,882,dress,1
492,883,outerwear,1
493,884,dress,1
494,889,shoe,1
495,890,outerwear,1
496,893,dress,1
497,895,dress,1
498,896,outerwear,1
499,897,pants,1
500,901,outerwear,1
501,902,shoe,1
502,903,pants,1
503,904,shoe,1
504,905,outerwear,1
505,906,dress,1
506,909,outerwear,1
507,912,shoe,1
508,914,outerwear,1
509,915,shoe,1
510,919,dress,1
511,920,dress,1
512,921,shoe,1
513,922,outerwear,1
514,923,shoe,1
515,927,outerwear,1
516,928,shoe,1
517,929,outerwear,1
518,930,shoe,1
519,931,dress,1
520,932,shoe,1
521,933,outerwear,1
522,934,dress,1
523,935,shoe,1
524,936,dress,1
525,937,outerwear,1
526,938,shoe,1
527,940,dress,1
528,941,dress,1
529,943,shoe,1
530,946,shoe,1
531,947,shoe,1
532,948,shoe,1
533,951,pants,1
534,952,outerwear,1
535,953,outerwear,1
536,954,outerwear,1
537,957,dress,1
538,958,dress,1
539,959,pants,1
540,960,pants,1
541,963,shoe,1
542,965,outerwear,1
543,969,outerwear,1
544,971,dress,1
545,973,outerwear,1
546,974,dress,1
547,975,dress,1
548,977,dress,1
549,979,dress,1
550,980,dress,1
551,981,outerwear,1
552,984,outerwear,1
553,991,shoe,1
554,993,dress,1
555,996,dress,1
556,997,shoe,1
557,999,shoe,1
558,1001,outerwear,1
559,1002,outerwear,1
560,1003,pants,1
561,1005,outerwear,1
562,1006,pants,1
563,1007,pants,1
564,1008,dress,1
565,1009,dress,1
566,1011,dress,1
567,1012,outerwear,1
568,1015,dress,1
569,1017,dress,1
570,1019,dress,1
571,1021,pants,1
572,1023,outerwear,1
573,1024,pants,1
574,1025,shoe,1
575,1026,shoe,1
576,1027,outerwear,1
577,1029,dress,1
578,1032,outerwear,1
579,1035,shoe,1
580,1037,shoe,1
581,1038,dress,1
582,1043,dress,1
583,1044,outerwear,1
584,1047,outerwear,1
585,1048,shoe,1
586,1053,shoe,1
587,1054,shoe,1
588,1055,dress,1
589,1056,pants,1
590,1057,dress,1
591,1058,dress,1
592,1060,pants,1
593,1061,dress,1
594,1062,shoe,1
595,1063,shoe,1
596,1064,outerwear,1
597,1066,outerwear,1
598,1072,outerwear,1
599,1073,outerwear,1
600,1074,pants,1
601,1077,dress,1
602,1078,dress,1
603,1079,dress,1
604,1080,outerwear,1
605,1082,outerwear,1
606,1083,pants,1
607,1084,outerwear,1
608,1086,outerwear,1
609,1089,outerwear,1
610,1090,dress,1
611,1092,dress,1
612,1094,pants,1
613,1095,shoe,1
614,1097,shoe,1
615,1099,dress,1
616,1101,outerwear,1
617,1104,shoe,1
618,1105,outerwear,1
619,1106,pants,1
620,1108,outerwear,1
621,1109,dress,1
622,1111,outerwear,1
623,1113,shoe,1
624,1114,outerwear,1
625,1115,pants,1
626,1116,pants,1
627,1120,pants,1
628,1121,outerwear,1
629,1122,dress,1
630,1123,dress,1
631,1124,pants,1
632,1127,dress,1
633,1128,outerwear,1
634,1129,dress,1
635,1131,outerwear,1
636,1132,outerwear,1
637,1134,shoe,1
638,1135,dress,1
639,1137,outerwear,1
640,1138,outerwear,1
641,1145,dress,1
642,1148,pants,1
643,1150,dress,1
644,1151,outerwear,1
645,1153,outerwear,1
646,1155,dress,1
647,1157,dress,1
648,1159,dress,1
649,1161,dress,1
650,1162,outerwear,1
651,1168,shoe,1
652,1169,shoe,1
653,1171,pants,1
654,1177,dress,1
655,1178,pants,1
656,1179,dress,1
657,1180,outerwear,1
658,1183,shoe,1
659,1184,dress,1
660,1186,pants,1
661,1188,dress,1
662,1189,shoe,1
663,1190,shoe,1
664,1192,shoe,1
665,1193,dress,1
666,1195,shoe,1
667,1196,dress,1
668,1198,pants,1
669,1202,dress,1
670,1203,dress,1
671,1205,dress,1
672,1208,dress,1
673,1209,pants,1
674,1211,shoe,1
675,1212,outerwear,1
676,1213,outerwear,1
677,1215,dress,1
678,1216,dress,1
679,1217,pants,1
680,1218,shoe,1
681,1219,dress,1
682,1220,outerwear,1
683,1222,outerwear,1
684,1223,dress,1
685,1225,shoe,1
686,1226,shoe,1
687,1228,shoe,1
688,1231,dress,1
689,1233,dress,1
690,1234,outerwear,1
691,1236,dress,1
692,1238,outerwear,1
693,1240,outerwear,1
694,1242,dress,1
695,1243,outerwear,1
696,1246,outerwear,1
697,1248,shoe,1
698,1249,shoe,1
699,1252,shoe,1
700,1253,dress,1
701,1257,dress,1
702,1259,dress,1
703,1264,outerwear,1
704,1266,outerwear,1
705,1267,dress,1
706,1269,outerwear,1
707,1270,pants,1
708,1272,shoe,1
709,1277,pants,1
710,1279,shoe,1
711,1282,shoe,1
712,1283,outerwear,1
713,1284,pants,1
714,1286,outerwear,1
715,1289,shoe,1
716,1290,pants,1
717,1291,pants,1
718,1292,pants,1
719,1293,shoe,1
720,1295,outerwear,1
721,1297,outerwear,1
722,1300,dress,1
723,1301,outerwear,1
724,1302,outerwear,1
725,1303,shoe,1
726,1304,outerwear,1
727,1305,shoe,1
728,1306,dress,1
729,1307,pants,1
730,1308,outerwear,1
731,1310,outerwear,1
732,1312,shoe,1
733,1313,dress,1
734,1315,pants,1
735,1316,outerwear,1
736,1318,shoe,1
737,1319,outerwear,1
738,1321,outerwear,1
739,1324,shoe,1
740,1325,dress,1
741,1326,shoe,1
742,1327,dress,1
743,1330,dress,1
744,1335,shoe,1
745,1339,outerwear,1
746,1340,dress,1
747,1341,dress,1
748,1342,dress,1
749,1346,outerwear,1
750,1349,dress,1
751,1350,shoe,1
752,1351,dress,1
753,1353,pants,1
754,1354,pants,1
755,1356,dress,1
756,1358,dress,1
757,1360,outerwear,1
758,1362,outerwear,1
759,1363,shoe,1
760,1366,dress,1
761,1369,dress,1
762,1372,shoe,1
763,1373,shoe,1
764,1376,pants,1
765,1377,outerwear,1
766,1378,outerwear,1
767,1380,dress,1
768,1381,dress,1
769,1385,shoe,1
770,1387,outerwear,1
771,1389,outerwear,1
772,1390,pants,1
773,1395,shoe,1
774,1401,shoe,1
775,1402,dress,1
776,1403,outerwear,1
777,1406,pants,1
778,1407,dress,1
779,1408,dress,1
780,1412,dress,1
781,1415,outerwear,1
782,1417,shoe,1
783,1418,outerwear,1
784,1419,shoe,1
785,1420,dress,1
786,1423,dress,1
787,1427,outerwear,1
788,1428,dress,1
789,1429,dress,1
790,1430,shoe,1
791,1432,shoe,1
792,1433,shoe,1
793,1434,pants,1
794,1435,dress,1
795,1436,pants,1
796,1437,outerwear,1
797,1439,dress,1
798,1440,shoe,1
799,1447,shoe,1
800,1449,dress,1
801,1450,dress,1
802,1452,dress,1
803,1457,shoe,1
804,1458,dress,1
805,1459,shoe,1
806,1465,dress,1
807,1467,shoe,1
808,1470,outerwear,1
809,1472,shoe,1
810,1473,outerwear,1
811,1474,shoe,1
812,1476,pants,1
813,1477,shoe,1
814,1478,dress,1
815,1479,dress,1
816,1480,dress,1
817,1482,shoe,1
818,1483,outerwear,1
819,1484,outerwear,1
820,1485,shoe,1
821,1493,shoe,1
822,1494,outerwear,1
823,1495,pants,1
824,1497,dress,1
825,1498,shoe,1
826,1501,dress,1
827,1503,outerwear,1
828,1504,dress,1
829,1505,dress,1
830,1506,pants,1
831,1507,shoe,1
832,1511,outerwear,1
833,1514,dress,1
834,1515,shoe,1
835,1518,dress,1
836,1519,outerwear,1
837,1520,shoe,1
838,1522,outerwear,1
839,1523,shoe,1
840,1526,dress,1
841,1527,dress,1
842,1530,outerwear,1
843,1531,dress,1
844,1532,dress,1
845,1538,dress,1
846,1539,shoe,1
847,1540,outerwear,1
848,1541,dress,1
849,1543,outerwear,1
850,1548,shoe,1
851,1553,outerwear,1
852,1558,outerwear,1
853,1559,dress,1
854,1564,pants,1
855,1569,outerwear,1
856,1572,outerwear,1
857,1573,pants,1
858,1574,pants,1
859,1575,dress,1
860,1576,shoe,1
861,1579,outerwear,1
862,1582,dress,1
863,1583,outerwear,1
864,1584,shoe,1
865,1585,outerwear,1
866,1587,dress,1
867,1590,dress,1
868,1591,outerwear,1
869,1592,shoe,1
870,1594,shoe,1
871,1595,outerwear,1
872,1596,pants,1
873,1598,shoe,1
874,1599,shoe,1
875,1602,pants,1
876,1603,shoe,1
877,1605,shoe,1
878,1607,pants,1
879,1609,shoe,1
880,1611,outerwear,1
881,1612,dress,1
882,1613,shoe,1
883,1615,dress,1
884,1616,outerwear,1
885,1618,outerwear,1
886,1623,dress,1
887,1625,dress,1
888,1629,pants,1
889,1630,outerwear,1
890,1632,dress,1
891,1633,outerwear,1
892,1636,pants,1
893,1638,shoe,1
894,1639,shoe,1
895,1641,shoe,1
896,1642,shoe,1
897,1644,shoe,1
898,1645,shoe,1
899,1646,outerwear,1
900,1647,outerwear,1
901,1649,outerwear,1
902,1653,dress,1
903,1656,outerwear,1
904,1663,pants,1
905,1665,outerwear,1
906,1669,dress,1
907,1670,dress,1
908,1673,shoe,1
909,1677,shoe,1
910,1679,dress,1
911,1681,shoe,1
912,1682,dress,1
913,1683,outerwear,1
914,1684,shoe,1
915,1685,shoe,1
916,1689,shoe,1
917,1690,outerwear,1
918,1691,pants,1
919,1692,outerwear,1
920,1694,shoe,1
921,1696,pants,1
922,1697,shoe,1
923,1698,dress,1
924,1699,shoe,1
925,1700,shoe,1
926,1702,dress,1
927,1705,shoe,1
928,1707,shoe,1
929,1708,outerwear,1
930,1709,dress,1
931,1710,dress,1
932,1711,outerwear,1
933,1712,outerwear,1
934,1713,outerwear,1
935,1715,dress,1
936,1716,dress,1
937,1719,dress,1
938,1720,pants,1
939,1721,dress,1
940,1723,shoe,1
941,1725,outerwear,1
942,1726,shoe,1
943,1728,dress,1
944,1729,shoe,1
945,1730,outerwear,1
946,1732,outerwear,1
947,1738,shoe,1
948,1739,outerwear,1
949,1740,pants,1
950,1741,dress,1
951,1743,shoe,1
952,1744,shoe,1
953,1745,outerwear,1
954,1750,outerwear,1
955,1751,pants,1
956,1752,outerwear,1
957,1754,dress,1
958,1755,dress,1
959,1756,shoe,1
960,1758,outerwear,1
961,1761,dress,1
962,1762,shoe,1
963,1763,dress,1
964,1764,shoe,1
965,1765,shoe,1
966,1770,dress,1
967,1771,pants,1
968,1772,pants,1
969,1774,dress,1
970,1776,outerwear,1
971,1777,outerwear,1
972,1780,outerwear,1
973,1781,outerwear,1
974,1782,shoe,1
975,1783,outerwear,1
976,1786,dress,1
977,1789,shoe,1
978,1790,pants,1
979,1791,outerwear,1
980,1792,pants,1
981,1793,outerwear,1
982,1794,outerwear,1
983,1795,pants,1
984,1798,dress,1
985,1800,shoe,1
986,1801,pants,1
987,1803,shoe,1
988,1804,shoe,1
989,1805,shoe,1
990,1806,outerwear,1
991,1808,pants,1
992,1809,outerwear,1
993,1810,dress,1
994,1811,dress,1
995,1812,outerwear,1
996,1813,outerwear,1
997,1814,outerwear,1
998,1815,shoe,1
999,1816,shoe,1
1000,1817,dress,1
1001,1818,dress,1
1002,1820,dress,1
1003,1821,shoe,1
1004,1822,pants,1
1005,1826,shoe,1
1006,1827,dress,1
1007,1828,shoe,1
1008,1837,outerwear,1
1009,1840,dress,1
1010,1842,shoe,1
1011,1843,shoe,1
1012,1844,shoe,1
1013,1846,shoe,1
1014,1847,shoe,1
1015,1851,dress,1
1016,1852,outerwear,1
1017,1853,dress,1
1018,1855,dress,1
1019,1856,outerwear,1
1020,1857,outerwear,1
1021,1858,outerwear,1
1022,1859,dress,1
1023,1861,dress,1
1024,1862,dress,1
1025,1863,dress,1
1026,1866,dress,1
1027,1868,dress,1
1028,1869,dress,1
1029,1872,outerwear,1
1030,1873,shoe,1
1031,1874,outerwear,1
1032,1875,dress,1
1033,1877,shoe,1
1034,1878,dress,1
1035,1879,dress,1
1036,1880,shoe,1
1037,1883,outerwear,1
1038,1886,dress,1
1039,1887,shoe,1
1040,1888,dress,1
1041,1890,outerwear,1
1042,1891,shoe,1
1043,1892,shoe,1
1044,1893,dress,1
1045,1895,dress,1
1046,1896,dress,1
1047,1897,dress,1
1048,1899,outerwear,1
1049,1900,dress,1
1050,1901,pants,1
1051,1902,shoe,1
1052,1905,pants,1
1053,1908,outerwear,1
1054,1909,shoe,1
1055,1911,shoe,1
1056,1912,shoe,1
1057,1913,outerwear,1
1058,1914,shoe,1
1059,1916,dress,1
1060,1919,dress,1
1061,1921,shoe,1
1062,1922,dress,1
1063,1923,outerwear,1
1064,1925,outerwear,1
1065,1927,shoe,1
1066,1928,dress,1
1067,1930,outerwear,1
1068,1932,dress,1
1069,1933,dress,1
1070,1934,pants,1
1071,1940,shoe,1
1072,1941,outerwear,1
1073,1944,outerwear,1
1074,1945,dress,1
1075,1946,dress,1
1076,1947,dress,1
1077,1948,outerwear,1
1078,1951,outerwear,1
1079,1952,shoe,1
1080,1954,dress,1
1081,1955,dress,1
1082,1958,shoe,1
1083,1959,shoe,1
1084,1961,dress,1
1085,1962,outerwear,1
1086,1966,outerwear,1
1087,1967,dress,1
1088,1969,shoe,1
1089,1971,outerwear,1
1090,1973,dress,1
1091,1974,shoe,1
1092,1976,pants,1
1093,1979,outerwear,1
1094,1980,outerwear,1
1095,1982,shoe,1
1096,1985,dress,1
1097,1989,dress,1
1098,1991,shoe,1
1099,1992,shoe,1
1100,1993,pants,1
1101,2000,outerwear,1
1102,2002,shoe,1
1103,2003,shoe,1
1104,2004,pants,1
1105,2007,outerwear,1
1106,2009,outerwear,1
1107,2010,dress,1
1108,2014,dress,1
1109,2015,shoe,1
1110,2016,dress,1
1111,2017,shoe,1
1112,2018,shoe,1
1113,2020,dress,1
1114,2021,outerwear,1
1115,2022,dress,1
1116,2023,outerwear,1
1117,2025,pants,1
1118,2026,pants,1
1119,2027,pants,1
1120,2029,pants,1
1121,2030,dress,1
1122,2031,outerwear,1
1123,2034,dress,1
1124,2036,shoe,1
1125,2037,shoe,1
1126,2039,dress,1
1127,2041,shoe,1
1128,2043,pants,1
1129,2044,dress,1
1130,2045,outerwear,1
1131,2046,shoe,1
1132,2049,outerwear,1
1133,2052,outerwear,1
1134,2053,shoe,1
1135,2054,pants,1
1136,2055,dress,1
1137,2056,outerwear,1
1138,2059,shoe,1
1139,2062,shoe,1
1140,2063,dress,1
1141,2064,dress,1
1142,2065,dress,1
1143,2066,shoe,1
1144,2067,shoe,1
1145,2068,outerwear,1
1146,2069,outerwear,1
1147,2071,outerwear,1
1148,2072,dress,1
1149,2074,dress,1
1150,2076,dress,1
1151,2077,pants,1
1152,2079,pants,1
1153,2080,dress,1
1154,2081,shoe,1
1155,2082,dress,1
1156,2083,dress,1
1157,2084,dress,1
1158,2085,outerwear,1
1159,2088,dress,1
1160,2090,dress,1
1161,2093,dress,1
1162,2095,shoe,1
1163,2096,outerwear,1
1164,2098,shoe,1
1165,2100,shoe,1
1166,2103,dress,1
1167,2104,dress,1
1168,2105,shoe,1
1169,2106,dress,1
1170,2107,outerwear,1
1171,2108,dress,1
1172,2109,dress,1
1173,2110,shoe,1
1174,2112,dress,1
1175,2113,shoe,1
1176,2114,dress,1
1177,2116,dress,1
1178,2117,dress,1
1179,2118,shoe,1
1180,2119,dress,1
1181,2120,pants,1
1182,2123,shoe,1
1183,2124,dress,1
1184,2125,dress,1
1185,2128,shoe,1
1186,2129,shoe,1
1187,2131,pants,1
1188,2132,pants,1
1189,2133,dress,1
1190,2134,dress,1
1191,2135,pants,1
1192,2138,outerwear,1
1193,2139,dress,1
1194,2140,outerwear,1
1195,2141,outerwear,1
1196,2142,dress,1
1197,2143,shoe,1
1198,2145,dress,1
1199,2146,dress,1
1200,2147,pants,1
1201,2149,dress,1
1202,2151,outerwear,1
1203,2153,outerwear,1
1204,2154,shoe,1
1205,2161,outerwear,1
1206,2163,outerwear,1
1207,2164,outerwear,1
1208,2165,shoe,1
1209,2166,pants,1
1210,2167,outerwear,1
1211,2168,dress,1
1212,2170,pants,1
1213,2173,dress,1
1214,2175,shoe,1
1215,2176,outerwear,1
1216,2177,shoe,1
1217,2181,outerwear,1
1218,2185,shoe,1
1219,2186,pants,1
1220,2190,pants,1
1221,2193,dress,1
1222,2199,dress,1
1223,2200,outerwear,1
1224,2201,outerwear,1
1225,2206,shoe,1
1226,2207,outerwear,1
1227,2208,outerwear,1
1228,2209,dress,1
1229,2210,dress,1
1230,2212,outerwear,1
1231,2213,outerwear,1
1232,2215,dress,1
1233,2220,dress,1
1234,2222,dress,1
1235,2224,outerwear,1
1236,2225,dress,1
1237,2226,shoe,1
1238,2230,shoe,1
1239,2233,outerwear,1
1240,2234,outerwear,1
1241,2235,outerwear,1
1242,2236,shoe,1
1243,2237,dress,1
1244,2239,outerwear,1
1245,2240,dress,1
1246,2243,outerwear,1
1247,2245,dress,1
1248,2246,dress,1
1249,2247,outerwear,1
1250,2249,outerwear,1
1251,2250,shoe,1
1252,2251,dress,1
1253,2255,pants,1
1254,2256,dress,1
1255,2258,dress,1
1256,2261,outerwear,1
1257,2262,dress,1
1258,2263,outerwear,1
1259,2264,shoe,1
1260,2266,dress,1
1261,2267,outerwear,1
1262,2268,dress,1
1263,2269,outerwear,1
1264,2276,dress,1
1265,2278,shoe,1
1266,2279,shoe,1
1267,2280,dress,1
1268,2281,shoe,1
1269,2284,dress,1
1270,2285,dress,1
1271,2291,dress,1
1272,2292,outerwear,1
1273,2293,outerwear,1
1274,2294,pants,1
1275,2295,shoe,1
1276,2298,dress,1
1277,2299,dress,1
1278,2300,shoe,1
1279,2302,shoe,1
1280,2303,pants,1
1281,2306,shoe,1
1282,2309,shoe,1
1283,2310,outerwear,1
1284,2311,dress,1
1285,2313,pants,1
1286,2316,shoe,1
1287,2317,outerwear,1
1288,2318,dress,1
1289,2320,dress,1
1290,2321,dress,1
1291,2322,shoe,1
1292,2323,shoe,1
1293,2324,dress,1
1294,2326,dress,1
1295,2327,shoe,1
1296,2328,dress,1
1297,2330,pants,1
1298,2331,pants,1
1299,2332,dress,1
1300,2334,outerwear,1
1301,2335,shoe,1
1302,2336,pants,1
1303,2337,dress,1
1304,2339,dress,1
1305,2340,pants,1
1306,2341,outerwear,1
1307,2342,pants,1
1308,2343,outerwear,1
1309,2347,outerwear,1
1310,2353,shoe,1
1311,2354,shoe,1
1312,2355,shoe,1
1313,2359,shoe,1
